;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
106;faculdade cnec farroupilha;pedagogia;4;100474;410;131.0;educação;0.98
107;faculdade cnec gravataí;administração;7;54552;1940;959.0;negócios, administração e direito;0.36
108;faculdade cnec gravataí;ciências contábeis;2;98054;520;227.0;negócios, administração e direito;0.38
109;faculdade cnec gravataí;sistemas de informação;4;56121;290;176.0;computação e tecnologias da informação e comunicação (tic);1.38
110;faculdade de direito de santa maria;direito;26;67110;2140;1061.0;negócios, administração e direito;1.21
111;faculdade de integração do ensino superior do cone sul;administração;3;69253;840;378.0;negócios, administração e direito;0.36
112;faculdade de integração do ensino superior do cone sul;ciências contábeis;1;119536;440;141.0;negócios, administração e direito;0.23
113;faculdade de integração do ensino superior do cone sul;gestão comercial;3;118598;470;189.0;negócios, administração e direito;0.64
114;faculdade de integração do ensino superior do cone sul;gestão de recursos humanos;1;118600;450;122.0;negócios, administração e direito;0.22
115;faculdade de tecnologia la salle - estrela;agronegócio;2;1045356;160;62.0;agricultura, silvicultura, pesca e veterinária;1.25
116;faculdade de tecnologia la salle - estrela;gestão ambiental;1;1122119;110;34.0;engenharia, produção e construção;0.91
117;faculdade de tecnologia la salle - estrela;gestão de turismo;1;1045095;60;17.0;serviços;1.67
118;faculdade de tecnologia la salle - estrela;gestão financeira;1;1122127;130;16.0;negócios, administração e direito;0.77
119;faculdade dom alberto;administração;12;67267;1690;928.0;negócios, administração e direito;0.71
120;faculdade dom alberto;ciências contábeis;8;67270;820;420.0;negócios, administração e direito;0.98
121;faculdade dom alberto;direito;6;89321;1450;800.0;negócios, administração e direito;0.41
122;faculdade dom bosco de porto alegre;administração;13;57908;240;139.0;negócios, administração e direito;5.42
123;faculdade dom bosco de porto alegre;ciências contábeis;1;59091;130;47.0;negócios, administração e direito;0.77
124;faculdade dom bosco de porto alegre;direito;10;106816;1080;478.0;negócios, administração e direito;0.93
125;faculdade dom bosco de porto alegre;engenharia ambiental e sanitária;2;86449;110;53.0;engenharia, produção e construção;1.82
126;faculdade ecoar;gestão ambiental;5;113935;180;145.0;engenharia, produção e construção;2.78
127;faculdade equipe;logística;3;1085211;70;35.0;negócios, administração e direito;4.29
128;faculdade especializada na área de saúde do rio grande do sul;odontologia;8;1024230;530;64.0;saúde e bem-estar;1.51
129;faculdade estácio do rio grande do sul - estácio fargs;administração;24;17316;1510;404.0;negócios, administração e direito;1.59
130;faculdade estácio do rio grande do sul - estácio fargs;ciências contábeis;6;17315;150;91.0;negócios, administração e direito;4.0
131;faculdade estácio do rio grande do sul - estácio fargs;direito;12;57396;1030;300.0;negócios, administração e direito;1.17
132;faculdade estácio do rio grande do sul - estácio fargs;gestão comercial;4;1114349;380;64.0;negócios, administração e direito;1.05
133;faculdade estácio do rio grande do sul - estácio fargs;gestão financeira;4;1114158;190;54.0;negócios, administração e direito;2.11
134;faculdade estácio do rio grande do sul - estácio fargs;hotelaria;4;21833;150;26.0;serviços;2.67
135;faculdade estácio do rio grande do sul - estácio fargs;sistemas para internet;4;1113749;290;95.0;computação e tecnologias da informação e comunicação (tic);1.38
136;faculdade estácio do rio grande do sul - estácio fargs;turismo;4;21258;300;80.0;serviços;1.33
137;faculdade horizontina;engenharia mecânica;10;48113;760;378.0;engenharia, produção e construção;1.32
138;faculdade integrada de santa maria;administração;25;67609;940;427.0;negócios, administração e direito;2.66
139;faculdade integrada de santa maria;enfermagem;5;67569;1210;575.0;saúde e bem-estar;0.41
140;faculdade integrada de santa maria;psicologia;42;96094;1460;896.0;ciências sociais, comunicação e informação;2.88
141;faculdade meridional;administração;32;97081;1350;765.0;negócios, administração e direito;2.37
142;faculdade meridional;arquitetura e urbanismo;10;122796;1800;832.0;engenharia, produção e construção;0.56
143;faculdade meridional;direito;20;80299;2700;1175.0;negócios, administração e direito;0.74
144;faculdade meridional;odontologia;7;122802;690;216.0;saúde e bem-estar;1.01
145;faculdade meridional;psicologia;22;98065;1850;685.0;ciências sociais, comunicação e informação;1.19
146;faculdade meridional;sistema de informação;28;96855;600;317.0;computação e tecnologias da informação e comunicação (tic);4.67
147;faculdade monteiro lobato;administração;9;68356;760;503.0;negócios, administração e direito;1.18
148;faculdade monteiro lobato;análise e desenvolvimento de sistemas;3;1055781;320;170.0;computação e tecnologias da informação e comunicação (tic);0.94
