;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
337;centro universitário da fundação educacional guaxupé;101170;enfermagem;9;50;18.0;48
338;centro universitário da fundação educacional guaxupé;83242;engenharia de produção e qualidade;6;74;8.11;51,4
339;centro universitário da fundação educacional guaxupé;88977;fisioterapia;6;74;8.11;66,2
340;centro universitário da fundação educacional guaxupé;87544;pedagogia;3;53;5.66;24,5
341;centro universitário da fundação educacional guaxupé;83244;química industrial;5;28;17.86;53,6
342;centro universitário da fundação educacional guaxupé;68955;serviço social;7;34;20.59;44,1
343;centro universitário da fundação educacional inaciana pe sabóia de medeiros;118496;administração;58;375;15.47;46,8
344;centro universitário da fundação educacional inaciana pe sabóia de medeiros;19799;ciência da computação;16;125;12.8;72,8
345;centro universitário da grande dourados;15598;administração;29;972;2.98;59,4
346;centro universitário da grande dourados;100750;agronomia;19;105;18.1;65,7
347;centro universitário da grande dourados;15606;arquitetura e urbanismo;9;118;7.63;58,5
348;centro universitário da grande dourados;15599;artes visuais;11;48;22.92;31,3
349;centro universitário da grande dourados;52270;biomedicina;7;40;17.5;37,5
350;centro universitário da grande dourados;15608;ciência da computação;6;51;11.76;84,3
351;centro universitário da grande dourados;15604;ciências contábeis;13;642;2.02;49,6
352;centro universitário da grande dourados;15597;direito;68;499;13.63;41,7
353;centro universitário da grande dourados;15605;educação física;27;153;17.65;60,1
354;centro universitário da grande dourados;71355;enfermagem;27;159;16.98;37,1
355;centro universitário da grande dourados;81956;estética e cosmética;11;178;6.18;42,1
356;centro universitário da grande dourados;63962;farmácia;12;145;8.28;35,9
357;centro universitário da grande dourados;20871;fisioterapia;7;74;9.46;50
358;centro universitário da grande dourados;71455;jornalismo;4;25;16.0;68
359;centro universitário da grande dourados;63965;medicina veterinária;14;84;16.67;45,8
360;centro universitário da grande dourados;56585;nutrição;7;72;9.72;36,1
361;centro universitário da grande dourados;87182;odontologia;9;101;8.91;32
362;centro universitário da grande dourados;15603;pedagogia;32;967;3.31;54,5
363;centro universitário da grande dourados;81954;produção agrícola;5;104;4.81;55,8
364;centro universitário da grande dourados;91501;produção publicitária;7;227;3.08;89,1
365;centro universitário da grande dourados;30786;psicologia;28;172;16.28;72,1
366;centro universitário da grande dourados;63960;serviço social;11;524;2.1;60,5
367;centro universitário da serra gaúcha;20710;administração;4;870;0.46;97,9
368;centro universitário da serra gaúcha;87550;ciências contábeis;7;119;5.88;84,9
